iter	MultiClass	Accuracy
0	1.084693943	0.7714285714
1	1.074681273	0.8285714286
2	1.061584386	0.8571428571
3	1.05281702	0.8714285714
4	1.040940491	0.8857142857
5	1.031464399	0.8571428571
6	1.026308791	0.8857142857
7	1.018543084	0.9285714286
8	1.00934455	0.9285714286
9	1.003099664	0.9142857143
10	0.9955340894	0.9428571429
11	0.9865907682	0.9285714286
12	0.979961305	0.9428571429
13	0.9711301125	0.9428571429
14	0.963342793	0.9428571429
15	0.9553764018	0.9428571429
16	0.9474601079	0.9428571429
17	0.9377451979	0.9285714286
18	0.928559802	0.9571428571
19	0.9221149797	0.9571428571
20	0.9141409394	0.9571428571
21	0.9062451571	0.9571428571
22	0.896162694	0.9571428571
23	0.8903584802	0.9571428571
24	0.8833365657	0.9571428571
25	0.8747972753	0.9571428571
26	0.8677780639	0.9571428571
27	0.8607481756	0.9571428571
28	0.8527748522	0.9571428571
29	0.845631458	0.9571428571
30	0.8365621221	0.9571428571
31	0.8302045729	0.9571428571
32	0.8234685786	0.9571428571
33	0.8177035504	0.9571428571
34	0.8113157178	0.9571428571
35	0.8026010819	0.9571428571
36	0.7977272223	0.9571428571
37	0.7908046649	0.9571428571
38	0.7820413312	0.9571428571
39	0.7746745846	0.9285714286
40	0.7682243087	0.9571428571
41	0.7627127385	0.9571428571
42	0.756610178	0.9428571429
43	0.7481987598	0.9428571429
44	0.7432341468	0.9428571429
45	0.7346423252	0.9285714286
46	0.7282169671	0.9285714286
47	0.7222861707	0.9428571429
48	0.717450569	0.9571428571
49	0.7118688385	0.9428571429
50	0.7069740445	0.9428571429
51	0.6995692256	0.9571428571
52	0.691591903	0.9571428571
53	0.6868123234	0.9571428571
54	0.6823253778	0.9571428571
55	0.6797900592	0.9571428571
56	0.6754712431	0.9571428571
57	0.6705358613	0.9571428571
58	0.6668444231	0.9571428571
59	0.6615254131	0.9571428571
60	0.6568805105	0.9571428571
61	0.6527014307	0.9571428571
62	0.6488541762	0.9571428571
63	0.6430360665	0.9571428571
64	0.6389978037	0.9571428571
65	0.6351832449	0.9571428571
66	0.631566419	0.9571428571
67	0.6288147752	0.9571428571
