iter	Passed	Remaining
0	5	11696
1	9	9283
2	12	8586
3	16	8157
4	19	7907
5	23	7797
6	27	7696
7	33	8226
8	38	8490
9	46	9300
10	54	9766
11	58	9735
12	62	9594
13	66	9404
14	71	9404
15	76	9431
16	81	9504
17	86	9524
18	91	9526
19	96	9531
20	100	9483
21	104	9351
22	108	9290
23	111	9175
24	114	9066
25	118	8984
26	122	8918
27	125	8851
28	129	8775
29	132	8696
30	136	8699
31	140	8656
32	144	8634
33	148	8594
34	152	8548
35	156	8532
36	160	8491
37	168	8674
38	172	8652
39	175	8617
40	179	8574
41	182	8528
42	187	8512
43	190	8474
44	194	8466
45	198	8432
46	202	8408
47	205	8376
48	209	8360
49	213	8337
50	217	8307
51	221	8290
52	224	8263
53	230	8320
54	237	8381
55	243	8456
56	250	8537
57	256	8599
58	261	8591
59	265	8596
60	269	8574
61	274	8575
62	278	8561
63	283	8566
64	287	8544
65	292	8560
66	295	8528
67	302	8601
68	309	8652
69	315	8706
70	320	8718
71	324	8688
72	329	8701
73	335	8726
74	341	8756
75	346	8767
76	353	8820
77	356	8794
78	361	8794
79	366	8786
80	369	8755
81	373	8724
82	378	8730
83	382	8713
84	385	8689
85	389	8669
86	395	8688
87	403	8771
88	413	8869
89	419	8903
90	427	8971
91	432	8976
92	438	8988
93	443	8989
94	447	8970
95	451	8955
96	456	8962
97	466	9049
98	475	9136
99	480	9129
100	485	9123
101	490	9119
102	493	9091
103	498	9089
104	504	9097
105	508	9083
106	511	9056
107	516	9055
108	523	9074
109	528	9086
110	532	9060
111	539	9086
112	543	9072
113	547	9062
114	552	9048
115	556	9038
116	560	9024
117	565	9016
118	569	8997
119	573	8978
120	577	8968
121	582	8968
122	587	8966
123	591	8946
124	597	8960
125	601	8946
126	605	8929
127	609	8908
128	612	8890
129	617	8876
130	623	8894
131	629	8914
132	635	8925
133	639	8905
134	643	8894
135	649	8896
136	654	8893
137	657	8876
138	662	8865
139	667	8869
140	671	8854
141	675	8837
142	681	8843
143	685	8832
144	689	8817
145	693	8803
146	701	8838
147	707	8847
148	714	8871
149	936	11554
150	1116	13666
151	1255	15261
152	1263	15251
153	1268	15210
154	1273	15163
155	1280	15141
156	1286	15106
157	1299	15146
158	1305	15118
159	1318	15157
160	1322	15102
161	1330	15095
162	1336	15066
163	1345	15063
164	1351	15029
165	1355	14976
166	1364	14973
167	1369	14935
168	1377	14921
169	1382	14882
170	1386	14830
171	1395	14827
172	1399	14777
173	1403	14726
174	1410	14713
175	1416	14684
176	1426	14696
177	1435	14692
178	1444	14690
179	1449	14656
180	1455	14623
181	1460	14590
182	1464	14536
183	1467	14482
184	1471	14441
185	1478	14415
186	1498	14524
187	1503	14487
188	1510	14474
189	1517	14457
190	1521	14405
191	1524	14355
192	1532	14345
193	1536	14304
194	1540	14263
195	1549	14262
196	1554	14223
197	1563	14230
198	1567	14188
199	1572	14155
200	1580	14145
201	1584	14103
202	1588	14057
203	1594	14041
204	1599	14004
205	1603	13963
206	1609	13942
207	1614	13910
208	1618	13870
209	1624	13848
210	1630	13822
211	1633	13779
212	1637	13739
213	1643	13719
214	1647	13676
215	1651	13639
216	1656	13607
217	1659	13566
218	1663	13525
219	1666	13483
220	1671	13451
221	1674	13411
222	1678	13375
223	1682	13343
224	1687	13310
225	1690	13270
226	1694	13231
227	1697	13192
228	1701	13156
229	1705	13122
230	1708	13086
231	1712	13047
232	1715	13010
233	1719	12975
234	1722	12938
235	1726	12904
236	1729	12868
237	1733	12834
238	1737	12799
239	1741	12768
240	1744	12733
241	1747	12697
242	1751	12667
243	1756	12639
244	1759	12605
245	1763	12575
246	1769	12556
247	1772	12523
248	1776	12495
249	1782	12475
250	1789	12471
251	1826	12666
252	1842	12722
253	1848	12708
254	1853	12682
255	1856	12648
256	1860	12615
257	1866	12605
258	1873	12591
259	1887	12633
260	1893	12614
261	1909	12667
262	1916	12655
263	1922	12641
264	1928	12628
265	1933	12601
266	1937	12578
267	1941	12547
268	1945	12516
269	1948	12485
270	1952	12454
271	1957	12435
272	1962	12416
273	1967	12394
274	1973	12381
275	1984	12396
276	1990	12379
277	1995	12361
278	1999	12333
279	2004	12314
280	2009	12290
281	2016	12286
282	2021	12266
283	2032	12283
284	2038	12265
285	2044	12254
286	2050	12240
287	2056	12224
288	2063	12217
289	2066	12187
290	2070	12160
291	2079	12161
292	2083	12135
293	2086	12105
294	2094	12103
295	2098	12080
296	2102	12055
297	2111	12056
298	2114	12032
299	2118	12004
300	2126	12004
301	2131	11985
302	2137	11971
303	2144	11963
304	2148	11937
305	2154	11925
306	2160	11915
307	2164	11889
308	2169	11875
309	2177	11870
310	2181	11846
311	2189	11846
312	2193	11824
313	2197	11798
314	2203	11788
315	2218	11822
316	2232	11850
317	2238	11840
318	2252	11869
319	2257	11851
320	2433	12730
321	2631	13711
322	2722	14135
323	2727	14106
324	2731	14075
325	2735	14045
326	2739	14015
327	2744	13992
328	2750	13971
329	2757	13953
330	2763	13935
331	2770	13919
332	2774	13891
333	2781	13874
334	2788	13859
335	2794	13841
336	2800	13821
337	2805	13793
338	2809	13767
339	2816	13752
340	2822	13731
341	2828	13711
342	2834	13691
343	2839	13667
344	2844	13644
345	2849	13623
346	2855	13601
347	2860	13577
348	2863	13545
349	2866	13512
350	2871	13488
351	2876	13469
352	2880	13440
353	2885	13415
354	2890	13393
355	2896	13374
356	2900	13347
357	2903	13316
358	2907	13292
359	2913	13272
360	2919	13254
361	2924	13233
362	2929	13209
363	2933	13182
364	2937	13160
365	2943	13141
366	2949	13122
367	2954	13102
368	2961	13091
369	2965	13066
370	2968	13035
371	2971	13005
372	2976	12981
373	2979	12953
374	2984	12931
375	2990	12916
376	2995	12895
377	2998	12866
378	3001	12839
379	3005	12813
380	3008	12783
381	3011	12754
382	3016	12733
383	3019	12706
384	3023	12681
385	3026	12653
386	3029	12625
387	3034	12606
388	3037	12579
389	3041	12554
390	3044	12528
391	3048	12504
392	3052	12482
393	3056	12457
394	3059	12433
395	3063	12407
396	3066	12381
397	3070	12358
398	3073	12333
399	3077	12309
400	3080	12284
401	3084	12259
402	3087	12234
403	3090	12210
404	3094	12185
405	3097	12162
406	3101	12137
407	3104	12112
408	3107	12089
409	3111	12064
410	3114	12040
411	3118	12019
412	3121	11995
413	3125	11974
414	3129	11951
415	3132	11927
416	3136	11906
417	3139	11883
418	3143	11859
419	3146	11837
420	3150	11814
421	3153	11790
422	3156	11769
423	3159	11745
424	3163	11722
425	3167	11703
426	3170	11680
427	3174	11658
428	3177	11637
429	3181	11614
430	3184	11592
431	3187	11570
432	3191	11548
433	3194	11527
434	3197	11504
435	3200	11481
436	3204	11461
437	3207	11440
438	3211	11418
439	3214	11397
440	3217	11376
441	3221	11355
442	3224	11334
443	3227	11312
444	3231	11291
445	3234	11271
446	3237	11249
447	3241	11229
448	3245	11210
449	3249	11191
450	3252	11171
451	3255	11150
452	3259	11131
453	3262	11110
454	3266	11091
455	3270	11073
456	3273	11053
457	3277	11033
458	3281	11017
459	3284	10996
460	3288	10979
461	3292	10962
462	3296	10942
463	3299	10923
464	3303	10904
465	3307	10886
466	3310	10867
467	3313	10847
468	3317	10829
469	3320	10809
470	3324	10790
471	3327	10772
472	3330	10753
473	3334	10733
474	3337	10715
475	3340	10695
476	3343	10676
477	3347	10658
478	3350	10639
479	3353	10620
480	3357	10603
481	3360	10584
482	3364	10566
483	3367	10547
484	3370	10528
485	3372	10505
486	3377	10493
487	3383	10482
488	3386	10463
489	3391	10452
490	3398	10445
491	3403	10432
492	3408	10419
493	3412	10402
494	3416	10388
495	3422	10376
496	3425	10358
497	3430	10345
498	3435	10334
499	3439	10317
500	3443	10304
501	3450	10295
502	3457	10290
503	3460	10273
504	3464	10256
505	3468	10242
506	3472	10226
507	3476	10209
508	3480	10195
509	3483	10178
510	3487	10161
511	3490	10144
512	3493	10127
513	3498	10113
514	3502	10098
515	3505	10081
516	3509	10065
517	3512	10048
518	3515	10031
519	3519	10016
520	3522	10000
521	3526	9985
522	3530	9971
523	3534	9955
524	3539	9943
525	3543	9929
526	3547	9914
527	3550	9897
528	3553	9881
529	3558	9869
530	3561	9853
531	3565	9838
532	3568	9822
533	3571	9806
534	3575	9790
535	3578	9774
536	3581	9758
537	3585	9743
538	3588	9727
539	3591	9711
540	3595	9696
541	3598	9680
542	3602	9665
543	3605	9651
544	3609	9635
545	3612	9621
546	3616	9605
547	3617	9584
548	3620	9569
549	3625	9556
550	3628	9541
551	3632	9527
552	3635	9512
553	3638	9497
554	3642	9482
555	3645	9467
556	3648	9452
557	3653	9440
558	3656	9425
559	3660	9411
560	3663	9397
561	3666	9382
562	3670	9368
563	3674	9354
564	3677	9339
565	3681	9328
566	3691	9329
567	3747	9448
568	3997	10053
569	4155	10424
570	4170	10436
571	4174	10422
572	4179	10409
573	4184	10394
574	4188	10381
575	4193	10366
576	4199	10357
577	4204	10344
578	4210	10334
579	4217	10324
580	4222	10313
581	4229	10303
582	4235	10293
583	4238	10277
584	4244	10266
585	4248	10250
586	4251	10234
587	4258	10225
588	4263	10213
589	4270	10205
590	4276	10194
591	4282	10186
592	4292	10185
593	4299	10177
594	4306	10168
595	4314	10164
596	4321	10155
597	4327	10146
598	4334	10137
599	4359	10171
600	4370	10174
601	4374	10159
602	4378	10143
603	4382	10128
604	4385	10112
605	4389	10096
606	4393	10082
607	4397	10067
608	4401	10052
609	4404	10037
610	4408	10022
611	4412	10006
612	4415	9991
613	4419	9977
614	4423	9961
615	4427	9946
616	4430	9930
617	4433	9914
618	4437	9899
619	4440	9883
620	4443	9868
621	4447	9852
622	4450	9836
623	4453	9821
624	4458	9808
625	4462	9793
626	4465	9779
627	4469	9763
628	4472	9749
629	4476	9734
630	4480	9719
631	4483	9705
632	4487	9691
633	4491	9678
634	4496	9666
635	4500	9652
636	4504	9638
637	4508	9624
638	4512	9611
639	4516	9597
640	4520	9585
641	4525	9573
642	4530	9561
643	4533	9546
644	4537	9531
645	4540	9517
646	4544	9502
647	4547	9488
648	4551	9475
649	4555	9461
650	4559	9447
651	4562	9433
652	4566	9419
653	4570	9405
654	4573	9391
655	4577	9378
656	4581	9365
657	4584	9350
658	4588	9337
659	4592	9324
660	4596	9311
661	4600	9297
662	4603	9283
663	4607	9271
664	4611	9257
665	4615	9245
666	4619	9231
667	4622	9218
668	4626	9205
669	4630	9191
670	4634	9178
671	4637	9165
672	4641	9152
673	4645	9139
674	4648	9125
675	4652	9112
676	4656	9099
677	4659	9086
678	4663	9072
679	4666	9058
680	4669	9044
681	4673	9031
682	4676	9017
683	4679	9003
684	4683	8990
685	4687	8977
686	4691	8965
687	4695	8953
688	4698	8940
689	4702	8927
690	4706	8914
691	4710	8903
692	4714	8891
693	4719	8880
694	4725	8872
695	4731	8865
696	4737	8856
697	4743	8847
698	4749	8839
699	4754	8829
700	4759	8820
701	4765	8812
702	4771	8802
703	4777	8794
704	4785	8791
705	4789	8779
706	4793	8766
707	4797	8754
708	4801	8743
709	4805	8731
710	4809	8718
711	4813	8706
712	4817	8695
713	4820	8683
714	4824	8671
715	4828	8659
716	4833	8648
717	4836	8635
718	4840	8624
719	4844	8612
720	4848	8600
721	4852	8588
722	4855	8576
723	4859	8564
724	4863	8552
725	4866	8540
726	4871	8529
727	4876	8519
728	4879	8507
729	4883	8495
730	4887	8484
731	4891	8472
732	4894	8460
733	4898	8449
734	4902	8437
735	4906	8425
736	4910	8414
737	4913	8402
738	4917	8391
739	4921	8379
740	4925	8368
741	4928	8356
742	4932	8344
743	4936	8333
744	4940	8322
745	4944	8311
746	4948	8300
747	4952	8288
748	4956	8277
749	4959	8266
750	4963	8255
751	4967	8243
752	4970	8231
753	4975	8222
754	4979	8211
