iter	Passed	Remaining
0	9	19335
1	16	16048
2	21	14119
3	25	12912
4	33	13491
5	41	13662
6	54	15625
7	63	15815
8	73	16307
9	83	16685
10	89	16158
11	95	15758
12	100	15354
13	107	15212
14	112	14922
15	119	14759
16	126	14775
17	131	14525
18	138	14486
19	144	14290
20	147	13930
21	150	13541
22	155	13394
23	158	13069
24	161	12765
25	164	12488
26	168	12335
27	171	12092
28	174	11860
29	177	11660
30	180	11466
31	184	11373
32	189	11273
33	192	11107
34	195	10954
35	200	10938
36	205	10901
37	208	10765
38	215	10822
39	221	10841
40	225	10773
41	233	10893
42	236	10767
43	239	10642
44	248	10793
45	254	10803
46	258	10756
47	264	10762
48	267	10654
49	270	10543
50	281	10770
51	287	10787
52	296	10886
53	304	10976
54	312	11048
55	319	11092
56	330	11276
57	344	11534
58	359	11841
59	371	12020
60	384	12212
61	390	12214
62	401	12339
63	418	12655
64	424	12635
65	432	12671
66	447	12924
67	458	13023
68	464	13005
69	475	13096
70	482	13107
71	489	13099
72	496	13114
73	502	13074
74	507	13017
75	516	13075
76	521	13028
77	530	13062
78	538	13106
79	549	13191
80	555	13151
81	565	13232
82	575	13294
83	589	13444
84	601	13548
85	611	13614
86	627	13793
87	632	13745
88	661	14202
89	676	14352
90	688	14433
91	696	14451
92	730	14987
93	740	15006
94	755	15150
95	765	15180
96	772	15148
97	789	15314
98	797	15314
99	804	15289
100	813	15289
101	818	15238
102	824	15186
103	830	15142
104	837	15113
105	846	15120
106	856	15145
107	873	15303
108	892	15482
109	901	15481
110	905	15415
111	922	15554
112	931	15550
113	937	15505
114	947	15525
115	954	15506
116	961	15477
117	973	15524
118	985	15577
119	990	15522
120	1021	15856
121	1031	15881
122	1036	15822
123	1051	15908
124	1062	15939
125	1069	15900
126	1085	16014
127	1101	16105
128	1126	16339
129	1132	16292
130	1140	16271
131	1155	16351
132	1163	16331
133	1171	16313
134	1183	16344
135	1189	16309
136	1203	16360
137	1209	16322
138	1226	16424
139	1236	16424
140	1245	16422
141	1252	16383
142	1259	16356
143	1270	16372
144	1313	16802
145	1332	16920
146	1338	16870
147	1343	16812
148	1352	16801
149	1360	16773
150	1367	16742
151	1374	16711
152	1384	16717
153	1389	16654
154	1394	16596
155	1402	16576
156	1408	16528
157	1415	16496
158	1424	16493
159	1432	16472
160	1443	16484
161	1448	16436
162	1454	16390
163	1459	16342
164	1463	16275
165	1467	16218
166	1475	16195
167	1480	16143
168	1485	16089
169	1489	16036
170	1494	15983
171	1500	15949
172	1506	15911
173	1511	15863
174	1519	15843
175	1523	15788
176	1526	15720
177	1529	15659
178	1536	15629
179	1539	15566
180	1549	15574
181	1554	15525
182	1558	15479
183	1564	15438
184	1568	15387
185	1572	15337
186	1577	15293
187	1583	15260
188	1592	15254
189	1602	15261
190	1613	15282
191	1616	15220
192	1620	15173
193	1630	15182
194	1640	15186
195	1643	15128
196	1646	15068
197	1649	15010
198	1660	15031
199	1663	14974
200	1668	14932
201	1672	14883
202	1675	14829
203	1678	14774
204	1681	14719
205	1689	14713
206	1693	14665
207	1695	14611
208	1705	14611
209	1710	14581
210	1715	14548
211	1719	14502
212	1722	14451
213	1725	14400
214	1729	14362
215	1739	14366
216	1746	14347
217	1751	14317
218	1756	14284
219	1761	14254
220	1769	14244
221	1777	14235
222	1782	14204
223	1785	14157
224	1799	14192
225	1802	14145
226	1809	14135
227	1812	14088
228	1815	14043
229	1828	14070
230	1831	14028
231	1840	14023
232	1844	13991
233	1848	13950
234	1855	13937
235	1861	13912
236	1870	13914
237	1874	13876
238	1877	13832
239	1884	13822
240	1891	13807
241	1898	13792
242	1902	13757
243	1905	13714
244	1908	13671
245	1911	13631
246	1917	13608
247	1922	13580
248	1928	13564
249	1933	13532
250	1938	13505
251	1942	13474
252	1945	13432
253	1948	13391
254	1950	13350
255	1954	13313
256	1957	13276
257	1962	13250
258	1965	13210
259	1968	13176
260	1971	13136
261	1974	13100
262	1977	13061
263	1980	13023
264	1984	12990
265	1986	12952
266	1992	12932
267	1995	12898
268	1999	12865
269	2002	12828
270	2006	12800
271	2009	12768
272	2013	12735
273	2016	12699
274	2019	12666
275	2022	12631
276	2025	12596
277	2028	12566
278	2031	12531
279	2038	12523
280	2043	12503
281	2046	12468
282	2050	12441
283	2053	12407
284	2056	12374
285	2059	12345
286	2062	12313
287	2067	12289
288	2071	12265
289	2077	12250
290	2083	12233
291	2086	12203
292	2089	12175
293	2092	12143
294	2096	12114
295	2099	12083
296	2101	12052
297	2105	12025
298	2108	11994
299	2111	11965
300	2116	11947
301	2124	11942
302	2126	11912
303	2129	11882
304	2133	11855
305	2136	11825
306	2138	11795
307	2144	11778
308	2147	11749
309	2151	11727
310	2154	11700
311	2158	11676
312	2161	11647
313	2164	11623
314	2167	11596
315	2170	11567
316	2177	11559
317	2180	11531
318	2183	11503
319	2187	11483
320	2193	11474
321	2196	11447
322	2199	11420
323	2204	11401
324	2207	11377
325	2210	11350
326	2213	11323
327	2216	11296
328	2223	11291
329	2226	11265
330	2229	11239
331	2231	11212
332	2239	11210
333	2242	11187
334	2245	11161
335	2250	11144
336	2256	11134
337	2262	11126
338	2265	11102
339	2269	11081
340	2272	11055
341	2275	11030
342	2279	11010
343	2284	10999
344	2287	10974
345	2290	10949
346	2293	10924
347	2296	10903
348	2299	10879
349	2302	10855
350	2305	10831
351	2310	10815
352	2313	10795
353	2316	10771
354	2319	10747
355	2322	10724
356	2329	10718
357	2331	10695
358	2334	10672
359	2337	10648
360	2348	10664
361	2357	10667
362	2365	10667
363	2371	10656
364	2377	10649
365	2390	10671
366	2395	10656
367	2400	10646
368	2406	10638
369	2412	10626
370	2417	10613
371	2424	10608
372	2430	10602
373	2439	10607
374	2446	10599
375	2454	10599
376	2458	10582
377	2461	10560
378	2466	10547
379	2469	10525
380	2472	10504
381	2474	10482
382	2478	10463
383	2484	10456
384	2490	10447
385	2494	10431
386	2498	10414
387	2503	10399
388	2505	10377
389	2510	10363
390	2515	10351
391	2518	10329
392	2521	10308
393	2524	10290
394	2529	10278
395	2532	10257
396	2535	10236
397	2538	10217
398	2541	10198
399	2544	10178
400	2547	10158
401	2550	10139
402	2554	10122
403	2559	10111
404	2565	10104
405	2572	10100
406	2575	10081
407	2578	10061
408	2581	10041
409	2584	10024
410	2588	10007
411	2591	9987
412	2594	9968
413	2597	9949
414	2600	9933
415	2606	9924
416	2611	9914
417	2615	9898
418	2618	9881
419	2621	9862
420	2624	9843
421	2627	9824
422	2630	9807
423	2634	9790
424	2636	9772
425	2639	9753
426	2643	9737
427	2646	9719
428	2649	9703
429	2652	9684
430	2655	9666
431	2658	9650
432	2661	9632
433	2666	9621
434	2672	9614
435	2678	9609
436	2686	9608
437	2693	9604
438	2698	9596
439	2701	9579
440	2705	9564
441	2708	9546
442	2722	9569
443	2729	9564
444	2732	9546
445	2735	9531
446	2738	9513
447	2743	9503
448	2749	9499
449	2755	9492
450	2764	9494
451	2768	9483
452	2772	9466
453	2775	9449
454	2778	9433
455	2781	9417
456	2784	9400
457	2787	9385
458	2790	9369
459	2794	9354
460	2797	9338
461	2800	9321
462	2803	9307
463	2807	9293
464	2810	9279
465	2813	9262
466	2816	9245
467	2822	9239
468	2828	9232
469	2832	9220
470	2837	9210
471	2841	9197
472	2844	9181
473	2847	9166
474	2851	9154
475	2857	9147
476	2860	9132
477	2863	9116
478	2867	9105
479	2872	9095
480	2875	9079
481	2877	9063
482	2881	9050
483	2886	9040
484	2891	9033
485	2897	9026
486	2903	9021
487	2908	9013
488	2916	9010
489	2918	8995
490	2921	8979
491	2924	8964
492	2928	8950
493	2931	8937
494	2934	8921
495	2937	8906
496	2940	8891
497	2946	8886
498	2953	8883
499	2956	8869
500	2960	8859
501	2966	8851
502	2969	8836
503	2974	8828
504	2979	8821
505	2982	8807
506	2985	8792
507	2990	8782
508	2993	8767
509	2995	8752
510	2998	8738
511	3001	8724
512	3006	8713
513	3008	8699
514	3011	8684
515	3014	8670
516	3017	8656
517	3022	8647
518	3025	8633
519	3028	8618
520	3031	8604
521	3035	8593
522	3038	8579
523	3040	8565
524	3043	8551
525	3046	8537
526	3050	8527
527	3055	8519
528	3060	8511
529	3068	8509
530	3071	8495
531	3073	8482
532	3076	8468
533	3081	8458
534	3083	8444
535	3086	8430
536	3089	8417
537	3092	8404
538	3097	8394
539	3102	8387
540	3106	8377
541	3109	8364
542	3113	8354
543	3116	8340
544	3119	8327
545	3122	8314
546	3126	8304
547	3129	8291
548	3132	8278
549	3135	8265
550	3137	8252
551	3142	8242
552	3145	8229
553	3148	8216
554	3150	8203
555	3153	8190
556	3157	8180
557	3162	8172
558	3168	8166
559	3177	8170
560	3181	8159
561	3183	8146
562	3186	8134
563	3196	8138
564	3211	8156
565	3220	8158
566	3224	8148
567	3227	8136
568	3230	8125
569	3236	8119
570	3241	8113
571	3248	8110
572	3258	8114
573	3268	8118
574	3272	8109
575	3275	8098
576	3278	8086
577	3284	8081
578	3287	8068
579	3291	8058
580	3300	8060
581	3306	8056
582	3312	8051
583	3317	8044
584	3323	8038
